lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
meadow_3cuts,,,,,initial_plant,fesc,"1,1000,0,0,1,1000",
meadow_3cuts,3,1,3,31,fertilizer,elem_n,broadcast,60
meadow_3cuts,3,1,3,31,fertilizer,elem_p,broadcast,25
meadow_3cuts,5,15,5,25,harvest_only,fesc,hay_cut_low,
meadow_3cuts,5,27,6,5,fertilizer,elem_n,broadcast,40
meadow_3cuts,7,25,8,5,harvest_only,fesc,hay_cut_low,
meadow_3cuts,8,7,8,12,fertilizer,elem_n,broadcast,40
meadow_3cuts,9,15,9,30,harvest_only,fesc,hay_cut_low,
orcd,,,,,initial_plant,orcd,"2,20000,0,0,1,10000",
orcd,5,1,5,31,fertilizer,elem_n,broadcast,60
orcd,9,1,10,31,harvest_only,orcd,orchard,
frst,,,,,initial_plant,frst_test,"2,50000,0,0,1,10000",
wetl,,,,,initial_plant,wetl,"2,50000,0,0,1,10000",
komplex,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
komplex,9,1,9,1,harvest_only,rnge_test,grass_mulch,
shr,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
rnge,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
rnge,9,1,9,1,harvest_only,rnge_test,grass_mulch,
urld,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urld,9,1,9,1,harvest_only,rnge_test,grass_mulch,
urbn,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urbn,9,1,9,1,harvest_only,rnge_test,grass_mulch,
utrn,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
utrn,9,1,9,1,harvest_only,rnge_test,grass_mulch,
urhd,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urhd,9,1,9,1,harvest_only,rnge_test,grass_mulch,
uidu,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
uidu,9,1,9,1,harvest_only,rnge_test,grass_mulch,
